Metrica,N,F,p-value
Tempo,256,3760.962698723468,2.516530203037514e-145
Tempo,512,1190.2781546495203,9.422120556459885e-110
Tempo,1024,1863.4095401803704,1.5990868759731952e-123
Tempo,2048,22085.93131966888,1.8802174716534716e-73
Cycles,256,1771.5565457614396,5.806646370572283e-122
Cycles,512,1717.242097305742,5.298392396175051e-121
Cycles,1024,5905.47881431242,2.0175150277024853e-159
Cycles,2048,22776.934056586684,9.40428158201458e-74
Instructions,256,26191.38220692462,3.5932876732187605e-206
Instructions,512,134514.2684762465,1.1798124341836593e-257
Instructions,1024,1088272.8673181578,0.0
Instructions,2048,13367163.183101842,4.854091090273227e-136
CacheMisses,256,2523.5326579437437,6.535587482359915e-133
CacheMisses,512,48367.25083624222,1.829073263192123e-225
CacheMisses,1024,294902.3312819573,2.293640914899203e-282
CacheMisses,2048,13548.053834135924,1.1125336474266239e-68
BranchMisses,256,24.462172850415012,1.7478839281766275e-15
BranchMisses,512,16.64119538638761,3.029062449402424e-11
BranchMisses,1024,166.18750719811536,4.22295417392371e-53
BranchMisses,2048,2389.9915000904766,9.125164506706565e-52
L1LoadMisses,256,2845.095552257978,1.2303605346827306e-136
L1LoadMisses,512,35205.243800581906,1.7957251807929382e-215
L1LoadMisses,1024,243871.293628634,2.19899935917447e-276
L1LoadMisses,2048,21181.336726287052,4.815479335094985e-73
L2Misses,256,44.699682907231384,2.3656315095686205e-17
L2Misses,512,444.32968404601775,2.8480512063275186e-80
L2Misses,1024,1511.5469655834822,4.484387420892687e-117
L2Misses,2048,35495.97423291978,4.3625617733494665e-78
