Flag,N,Tempo_mean,Tempo_std,Tempo_median,Cycles_mean,Cycles_std,Cycles_median,Instructions_mean,Instructions_std,Instructions_median,CacheMisses_mean,CacheMisses_std,CacheMisses_median,BranchMisses_mean,BranchMisses_std,BranchMisses_median,L1LoadMisses_mean,L1LoadMisses_std,L1LoadMisses_median,L2Misses_mean,L2Misses_std,L2Misses_median
-O0,256,0.04992996666666667,0.0027932437759626387,0.0497785,228437430.26666668,9424487.302581502,226764200.5,462674299.73333335,5629678.573729283,463108081.5,17280252.666666668,586578.2234668038,17184184.5,178842.76666666666,67083.73603329691,165945.5,18065765.233333334,282342.8338458694,18016682.5,615011.2333333333,500328.39615297935,539316.5
-O0,512,0.458569,0.03831994643200486,0.4404035,1926686181.0,41024069.436278544,1924226783.0,3685526566.9333334,35810926.16722512,3678116090.5,136367811.63333333,1648211.3210327858,136198932.5,729528.0,113059.16059729752,704037.5,139486991.86666667,1869463.6755309342,139792632.5,14831239.333333334,2040542.983890019,14429337.5
-O0,1024,3.6818755,0.33006536018865335,3.5893275,15332197835.2,409090036.5260755,15190704186.5,29217116932.2,111232268.66954459,29202682159.5,1097673766.9666667,4865321.898919815,1096724464.0,2405282.1,555851.4183754722,2359208.0,1097196102.2666667,4479294.922558168,1096163132.5,103854518.2,18812620.67219509,96305983.5
-O0,2048,57.447371,1.0016999482303404,57.144878500000004,257052940625.7,4309430069.2594,255792802720.5,232872311466.3,101462374.37003012,232849692655.0,9985795655.4,75492103.63045314,10011764896.5,13198132.5,546735.3116340769,13056553.0,9576798940.6,20824237.277286023,9582806787.5,367205661.9,16827804.894072216,373867328.5
-O1,256,0.026823633333333333,0.0010819924623146618,0.026978,125469415.7,6271295.041042404,126880222.5,135121469.46666667,4251228.551159428,135075168.5,11014602.466666667,745611.7680372057,10971730.5,112184.36666666667,41614.3508490167,103643.5,18837478.466666665,386025.55452758033,18781543.5,2130209.7,401320.305087934,2082882.5
-O1,512,0.6847989,0.04632137724513601,0.706587,3052935379.733333,211044644.94935104,3147268423.0,1017616945.6,14343266.29005964,1019788860.5,136771148.53333333,804199.0021560255,136791511.5,798931.1,107487.3928416082,795273.5,141988414.5,1309473.9524161862,142171269.0,100014319.73333333,19011258.88583825,109388547.0
-O1,1024,5.778916266666667,0.24179126971090004,5.758279,25118512168.766666,932377382.5277596,25270739674.5,7653664957.166667,27312993.383806497,7649387564.0,1096669496.8,3244451.382556626,1096952075.5,2746131.966666667,310073.7427585722,2821298.5,1128323192.2666667,5074715.485514521,1128672979.5,796245018.0333333,83805527.68831821,809210628.0
-O1,2048,141.0673289,1.4459834059724441,141.59787599999999,632867121321.0,6412339393.015796,635223391662.0,61346235802.1,75785770.1764927,61309344034.5,25842978095.0,440643470.67635596,26054774987.5,25661455.5,742573.5990303889,25454493.0,27434308178.6,359725611.3342,27591392117.0,16985222023.3,214765034.75624344,17036223093.0
-O2,256,0.012626066666666666,0.0004152841929565104,0.012502,56629218.86666667,11585219.73210455,62203796.0,86812772.26666667,5283891.755850042,87678896.5,6434652.633333334,323609.55415763357,6374183.5,92102.76666666666,36451.24120083717,72870.5,9878564.433333334,386382.0649476624,9872052.5,1489908.0,,1489908.0
-O2,512,0.28685873333333334,0.005648195884884208,0.28757,1297120356.4666667,30860653.630883705,1298744730.0,671932037.1333333,14202002.103494588,670299790.5,67938618.1,465112.14563974907,67937058.5,600175.7333333333,111685.48275801986,601844.5,71252966.06666666,422566.1234546746,71165198.0,31697980.566666666,1700884.424617091,31263040.5
-O2,1024,2.3487562333333334,0.141776618124692,2.275321,10080419835.366667,148607116.87032923,10091463320.5,4963079366.833333,30854612.546611857,4962385865.0,546176901.6,2759005.4890292175,546243115.0,1406673.3666666667,176054.11575313876,1392905.5,557049277.1666666,2372345.53916128,556830123.0,219750688.46666667,7235432.057791086,219743857.0
-O2,2048,51.4395849,0.5149749314719564,51.295768499999994,231458137199.6,2356063990.8618193,230752480053.0,39490391705.0,58856155.4775136,39508730914.5,7543635858.0,176400517.72192535,7592516409.5,9990366.7,196081.4471931101,9931178.5,8790734738.7,159465032.7846877,8838657538.5,4588356705.7,68849618.80842403,4568930335.5
-O3,256,0.012819266666666666,0.0010376923314319344,0.01262,58925337.96666667,10634353.995918434,61944499.5,85325081.13333334,5694018.244879516,86412377.5,6301816.2,435458.05527183786,6266321.0,81582.8,29887.527132510502,66283.5,9894032.666666666,723124.8358886034,9995356.0,398539.5,454108.92462546914,398539.5
-O3,512,0.2829841666666667,0.011571351907675461,0.2858005,1274094957.1333334,50935134.80734868,1283417376.0,676906727.8,9786489.952553654,678853296.5,67646928.63333334,613074.1173063262,67714155.0,556502.1333333333,90856.11512326483,542680.5,71298309.1,718290.4111798021,71042565.0,30478009.5,2151136.483376696,30517673.5
-O3,1024,2.2581577666666663,0.025479569631350733,2.2636755,10136604205.866667,127303135.85979111,10134929218.5,4965029127.433333,25841230.78540649,4966668355.0,545838223.3,1448054.141177317,545647598.0,1257484.2333333334,110919.22415501544,1249082.5,556427441.2,1795873.0231753539,556192309.5,223144402.83333334,5734560.712379723,222236432.0
-O3,2048,51.2028673,0.1546700239169048,51.214486,230357708378.3,688674681.1101406,230367375903.0,39429701158.1,46256286.63799742,39424451217.5,7594830400.9,24309107.830377806,7591706986.0,10191326.7,180421.57059019606,10119480.0,8829514934.1,24910460.410720095,8835204997.5,4570242617.4,28000021.24007436,4569513319.5
-Ofast,256,0.012819333333333332,0.0005427896228859241,0.012875000000000001,60128763.93333333,9640364.849132488,63412083.5,86165663.96666667,6671029.150865978,87761663.5,6206092.533333333,438064.064278411,6219594.5,88543.23333333334,35357.51843831934,65911.0,9952728.866666667,507372.801045144,9892590.5,609090.5,627920.0140818097,609090.5
-Ofast,512,0.28577736666666664,0.011371681631877564,0.2869735,1285080010.9,45789576.743672304,1291525574.0,679516581.9,12067425.725938613,683785193.5,67798564.03333333,667268.4728977385,67822998.0,616350.0666666667,214057.57688269753,576015.5,71448981.53333333,506316.7193040409,71339700.0,30702167.433333334,2020401.6734552234,30558898.5
-Ofast,1024,2.254947,0.018689122597069167,2.256589,10141204032.233334,85765795.62791309,10149662272.5,4962474047.866667,27883605.208703045,4965015573.5,545812106.2333333,1568180.1392204436,545597242.0,1219866.0666666667,116008.4348134112,1252213.5,556651164.8666667,1567714.5406424329,556384480.5,223370167.53333333,5616711.305541308,224525924.5
-Ofast,2048,51.1449494,0.39977181170935033,51.2831985,230096613258.6,1814309114.5623896,230721975278.5,39438147897.8,71555340.75403832,39437655336.5,7599416490.2,51852003.303141706,7603641880.0,9946930.2,195125.39116156966,9896205.5,8827868850.1,68541739.6214187,8847309822.0,4563011143.7,61687620.28137001,4584472685.5
